[2026-04-29 01:56:05] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-29 01:56:05] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-29 01:56:06] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-29 01:56:06] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-29 01:56:06] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-29 01:56:07] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-29 01:56:07] DEBUG    retriever — retrieve: query='music' top_k=5 best_score=0.484
[2026-04-29 01:56:07] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-29 01:56:08] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-29 01:56:08] DEBUG    retriever — retrieve: query='upbeat energetic workout pop high energy' top_k=2 best_score=0.606
[2026-04-29 01:56:08] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-29 01:56:09] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-29 01:56:09] DEBUG    retriever — retrieve: query='calm relaxing ambient chill low energy study' top_k=2 best_score=0.309
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using music_coach fallback.
[2026-04-29 01:56:09] INFO     explainer — Gemini disabled by caller — using nonexistent_style fallback.
[2026-04-29 01:56:22] INFO     evaluator — Loading catalog from C:\Users\AREEB\Desktop\AI Engineering\Music-Recommender-Simulation\data\songs.csv
[2026-04-29 01:56:22] INFO     evaluator — Loaded 18 songs — running 4 eval cases
[2026-04-29 01:56:22] DEBUG    evaluator — Evaluating case: 'upbeat workout'
[2026-04-29 01:56:22] DEBUG    evaluator — Evaluating case: 'chill study'
[2026-04-29 01:56:22] DEBUG    evaluator — Evaluating case: 'intense rock'
[2026-04-29 01:56:22] DEBUG    evaluator — Evaluating case: 'relaxed acoustic'
[2026-04-29 01:56:22] INFO     evaluator — All evaluation cases passed.
[2026-04-29 01:58:49] INFO     agent — Agent PLAN: No natural language query provided: scoring all 5 songs directly with the rule-based engine.
[2026-04-29 01:58:49] INFO     agent — Agent RETRIEVE: Using full catalog: 5 songs as candidates.
[2026-04-29 01:58:49] INFO     agent — Agent SCORE: Scored 5 candidates. Top result: "Sunrise City" (99.5% confidence). Returning 3 recommendation(s).
[2026-04-29 01:58:49] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:58:49] INFO     agent — Agent EXPLAIN: Gemini disabled — standard fallback explanation used.
[2026-04-29 01:58:49] INFO     agent — Agent REFLECT: Top confidence is 99.5% — strong lead result. Some lower-ranked results have weaker matches.
[2026-04-29 01:58:49] INFO     agent — Agent PLAN: No natural language query provided: scoring all 5 songs directly with the rule-based engine.
[2026-04-29 01:58:49] INFO     agent — Agent RETRIEVE: Using full catalog: 5 songs as candidates.
[2026-04-29 01:58:49] INFO     agent — Agent SCORE: Scored 5 candidates. Top result: "Sunrise City" (99.5% confidence). Returning 3 recommendation(s).
[2026-04-29 01:58:49] INFO     explainer — Gemini disabled by caller — using standard fallback.
[2026-04-29 01:58:49] INFO     agent — Agent EXPLAIN: Gemini disabled — standard fallback explanation used.
